DATE,IRLTLT01EZM156N
1997-01-01,6.23
1997-02-01,6.06
1997-03-01,6.32
1997-04-01,6.39
1997-05-01,6.18
1997-06-01,6.09
1997-07-01,5.83
1997-08-01,5.94
1997-09-01,5.66
1997-10-01,5.75
1997-11-01,5.59
1997-12-01,5.46
1998-01-01,5.22
1998-02-01,5.12
1998-03-01,5.01
1998-04-01,5
1998-05-01,5.06
1998-06-01,4.91
1998-07-01,4.82
1998-08-01,4.59
1998-09-01,4.27
1998-10-01,4.25
1998-11-01,4.24
1998-12-01,3.95
1999-01-01,3.822
1999-02-01,3.9742
1999-03-01,4.181
1999-04-01,4.0407
1999-05-01,4.2049
1999-06-01,4.5267
1999-07-01,4.8562
1999-08-01,5.0606
1999-09-01,5.2353
1999-10-01,5.4716
1999-11-01,5.1842
1999-12-01,5.3044
2000-01-01,5.6985
2000-02-01,5.6636
2000-03-01,5.4906
2000-04-01,5.4138
2000-05-01,5.5155
2000-06-01,5.3454
2000-07-01,5.4537
2000-08-01,5.3982
2000-09-01,5.4672
2000-10-01,5.4163
2000-11-01,5.3357
2000-12-01,5.068
2001-01-01,5.0082
2001-02-01,5.0211
2001-03-01,4.9381
2001-04-01,5.1014
2001-05-01,5.2625
2001-06-01,5.2083
2001-07-01,5.25
2001-08-01,5.0582
2001-09-01,5.0374
2001-10-01,4.8169
2001-11-01,4.6667
2001-12-01,4.9588
2002-01-01,5.0229
2002-02-01,5.0661
2002-03-01,5.3165
2002-04-01,5.2972
2002-05-01,5.3031
2002-06-01,5.1649
2002-07-01,5.0274
2002-08-01,4.7311
2002-09-01,4.5233
2002-10-01,4.6235
2002-11-01,4.5924
2002-12-01,4.4065
2003-01-01,4.2703
2003-02-01,4.0608
2003-03-01,4.1272
2003-04-01,4.2289
2003-05-01,3.9187
2003-06-01,3.7233
2003-07-01,4.0626
2003-08-01,4.2047
2003-09-01,4.2319
2003-10-01,4.3081
2003-11-01,4.4378
2003-12-01,4.356
2004-01-01,4.2567
2004-02-01,4.1833
2004-03-01,4.0194
2004-04-01,4.2424
2004-05-01,4.3862
2004-06-01,4.4426
2004-07-01,4.3396
2004-08-01,4.1679
2004-09-01,4.114
2004-10-01,3.9794
2004-11-01,3.8687
2004-12-01,3.6893
2005-01-01,3.6336
2005-02-01,3.6153
2005-03-01,3.7625
2005-04-01,3.5709
2005-05-01,3.4074
2005-06-01,3.2541
2005-07-01,3.316
2005-08-01,3.3155
2005-09-01,3.1555
2005-10-01,3.3234
2005-11-01,3.5273
2005-12-01,3.409
2006-01-01,3.3927
2006-02-01,3.551
2006-03-01,3.7312
2006-04-01,4.0116
2006-05-01,4.0603
2006-06-01,4.0751
2006-07-01,4.0963
2006-08-01,3.9682
2006-09-01,3.8398
2006-10-01,3.8813
2006-11-01,3.8041
2006-12-01,3.9026
2007-01-01,4.1028
2007-02-01,4.1175
2007-03-01,4.0227
2007-04-01,4.2459
2007-05-01,4.3731
2007-06-01,4.6608
2007-07-01,4.6284
2007-08-01,4.4263
2007-09-01,4.3694
2007-10-01,4.4002
2007-11-01,4.2515
2007-12-01,4.3818
2008-01-01,4.2317
2008-02-01,4.1394
2008-03-01,4.0705
2008-04-01,4.2827
2008-05-01,4.4233
2008-06-01,4.8093
2008-07-01,4.8145
2008-08-01,4.496
2008-09-01,4.5043
2008-10-01,4.4158
2008-11-01,4.1964
2008-12-01,3.8881
2009-01-01,4.1037
2009-02-01,4.1962
2009-03-01,4.142
2009-04-01,4.0879
2009-05-01,4.134
2009-06-01,4.3237
2009-07-01,4.0889
2009-08-01,3.89
2009-09-01,3.8669
2009-10-01,3.8036
2009-11-01,3.8368
2009-12-01,3.8718
2010-01-01,4.1012
2010-02-01,4.1068
2010-03-01,3.9852
2010-04-01,4.1533
2010-05-01,3.6821
2010-06-01,3.6894
2010-07-01,3.6136
2010-08-01,3.437
2010-09-01,3.4933
2010-10-01,3.3306
2010-11-01,3.7209
2010-12-01,4.0696
2011-01-01,3.9391
2011-02-01,4.4787
2011-03-01,4.4907
2011-04-01,4.6606
2011-05-01,4.3691
2011-06-01,4.3783
2011-07-01,4.6034
2011-08-01,4.2081
2011-09-01,4.038
2011-10-01,4.0786
2011-11-01,4.3943
2011-12-01,4.0932
2012-01-01,3.906
2012-02-01,3.7461
2012-03-01,3.2821
2012-04-01,3.3809
2012-05-01,3.527
2012-06-01,3.4056
2012-07-01,3.2481
2012-08-01,3.0094
2012-09-01,2.4178
2012-10-01,2.3055
2012-11-01,2.2467
2012-12-01,2.099
2013-01-01,2.393
2013-02-01,2.8582
2013-03-01,3.0276
2013-04-01,2.8551
2013-05-01,2.6855
2013-06-01,3.0709
2013-07-01,3.1011
2013-08-01,3.0967
2013-09-01,3.407
2013-10-01,3.1626
2013-11-01,3.1712
2013-12-01,3.3132
2014-01-01,3.2124
2014-02-01,3.0887
2014-03-01,2.8865
2014-04-01,2.6103
2014-05-01,2.555
2014-06-01,2.2757
2014-07-01,2.1583
2014-08-01,1.9898
2014-09-01,1.8485
2014-10-01,1.6899
2014-11-01,1.6171
2014-12-01,1.4478
2015-01-01,1.268
2015-02-01,1.2106
2015-03-01,0.9518
2015-04-01,0.8508
2015-05-01,1.333
2015-06-01,1.6651
2015-07-01,1.5286
2015-08-01,1.3923
2015-09-01,1.4809
2015-10-01,1.2032
2015-11-01,1.1532
2015-12-01,1.1933
2016-01-01,1.1129
2016-02-01,1.0397
2016-03-01,0.9306
2016-04-01,0.9614
2016-05-01,0.971
2016-06-01,0.883
2016-07-01,0.6209
2016-08-01,0.6133
2016-09-01,0.7341
2016-10-01,0.7703
2016-11-01,1.2307
2016-12-01,1.2851
2017-01-01,1.3089
2017-02-01,1.438
2017-03-01,1.4544
2017-04-01,1.26
2017-05-01,1.1733
2017-06-01,1.0707
2017-07-01,1.2068
2017-08-01,1.0441
2017-09-01,1.1149
2017-10-01,1.1489
2017-11-01,0.9467
2017-12-01,0.8786
2018-01-01,1.0321
2018-02-01,1.2695
2018-03-01,1.1688
2018-04-01,1.1261
2018-05-01,1.2344
2018-06-01,1.2885
2018-07-01,1.1986
2018-08-01,1.3655
2018-09-01,1.3199
2018-10-01,1.5554
2018-11-01,1.4059
2018-12-01,1.2121
2019-01-01,1.2022
2019-02-01,1.1199
2019-03-01,0.9908
2019-04-01,0.951
2019-05-01,0.8711
2019-06-01,0.5741
2019-07-01,0.3569
2019-08-01,0.0993
2019-09-01,0.0478
2019-10-01,0.1325
2019-11-01,0.3016
2019-12-01,0.3662
2020-01-01,0.3162
2020-02-01,0.1334
2020-03-01,0.3682
2020-04-01,0.5539
2020-05-01,0.4785
2020-06-01,0.3508
2020-07-01,0.2207
2020-08-01,0.1605
2020-09-01,0.123
2020-10-01,0.0005
2020-11-01,-0.0553
2020-12-01,-0.0915
2021-01-01,-0.0636
2021-02-01,0.0644
2021-03-01,0.1478
2021-04-01,0.205
2021-05-01,0.3769
2021-06-01,0.3038
2021-07-01,0.164
2021-08-01,0.0598
2021-09-01,0.1967
2021-10-01,0.3523
2021-11-01,0.3124
2021-12-01,0.2791
2022-01-01,0.5339
2022-02-01,0.9442
2022-03-01,1.0544
2022-04-01,1.5685
2022-05-01,1.8744
